Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Osasuna,38.0,12.0,9.0,17.0,45.0,56.0,45.0,45.78696899999999,57.36882100000002,46.2689,1.204920236842105,1.5097058157894743,1.2176026315789474,-0.02070971052631565,0.03602160526315856,19.0,6.0,5.0,8.0,19.0,26.0,23.0,25.877624,23.977164,27.601799999999997,1.361980210526316,1.2619559999999999,1.4527263157894736,-0.3619802105263159,-0.10646505263157913,19.0,6.0,4.0,9.0,26.0,30.0,22.0,19.909345000000002,33.391656999999995,18.667099999999998,1.0478602631578948,1.7574556315789471,0.9824789473684209,0.32056078947368416,0.17850826315789448
Getafe,38.0,10.0,13.0,15.0,42.0,54.0,43.0,50.276838999999995,57.6502,46.294699999999985,1.3230747105263156,1.5171105263157894,1.218281578947368,-0.2178115526315787,0.09605789473684201,19.0,8.0,5.0,6.0,20.0,22.0,29.0,27.212109999999996,25.295311,26.888700000000004,1.4322163157894734,1.331332157894737,1.4151947368421054,-0.37958473684210503,0.1734374210526317,19.0,2.0,8.0,9.0,22.0,32.0,14.0,23.064729,32.35488900000001,19.406,1.213933105263158,1.7028888947368426,1.0213684210526315,-0.05603836842105259,0.018678368421053193
Sevilla,38.0,10.0,11.0,17.0,48.0,54.0,41.0,53.5336354,62.986084600000005,45.54860000000001,1.4087798789473684,1.6575285421052632,1.1986473684210528,-0.1456219842105264,0.2364759105263159,19.0,6.0,5.0,8.0,27.0,27.0,23.0,32.680195999999995,29.995182,28.352000000000004,1.7200103157894735,1.578693789473684,1.4922105263157897,-0.29895768421052615,0.15764115789473676,19.0,4.0,6.0,9.0,21.0,27.0,18.0,20.853439399999996,32.99090259999999,17.1966,1.097549442105263,1.7363632947368417,0.9050842105263158,0.007713715789473996,0.31531066315789436
Celta Vigo,38.0,10.0,11.0,17.0,46.0,57.0,41.0,56.39012900000001,60.063660000000006,49.77139999999999,1.483950763157895,1.5806226315789476,1.309773684210526,-0.2734244473684213,0.08062263157894756,19.0,6.0,6.0,7.0,21.0,23.0,24.0,33.303454,21.831028999999997,31.9842,1.7528133684210527,1.1490015263157893,1.683378947368421,-0.6475502105263158,-0.06152478947368434,19.0,4.0,5.0,10.0,25.0,34.0,17.0,23.086674999999996,38.232631000000005,17.7872,1.2150881578947366,2.0122437368421053,0.9361684210526315,0.10070131578947406,0.222770052631579
Las Palmas,38.0,10.0,10.0,18.0,33.0,47.0,40.0,35.822558599999994,59.73192979999998,37.39720000000001,0.9426989105263156,1.5718928894736837,0.9841368421052635,-0.07427785789473662,0.3350507842105257,19.0,6.0,6.0,7.0,20.0,20.0,24.0,21.084009599999998,25.570671800000003,23.0777,1.1096847157894736,1.3458248315789476,1.2146157894736842,-0.05705313684210522,0.29319325263157925,19.0,4.0,4.0,11.0,13.0,27.0,16.0,14.738548999999999,34.161258000000004,14.319499999999998,0.7757131052631578,1.7979609473684213,0.753657894736842,-0.09150257894736835,0.3769083157894739
Mallorca,38.0,8.0,16.0,14.0,33.0,44.0,40.0,41.730413000000006,47.56210300000001,48.45300000000002,1.098168763157895,1.2516342894736845,1.2750789473684214,-0.22974771052631593,0.09373955263157918,19.0,6.0,8.0,5.0,17.0,16.0,26.0,19.387664000000004,16.22001,27.676800000000007,1.020403368421053,0.8536847368421052,1.4566736842105268,-0.12566652631578978,0.011579473684210528,19.0,2.0,8.0,9.0,16.0,28.0,14.0,22.342749,31.342093000000002,20.7762,1.1759341578947369,1.6495838421052633,1.0934842105263158,-0.3338288947368422,0.1758996315789476
Rayo Vallecano,38.0,8.0,14.0,16.0,29.0,48.0,38.0,46.401087999999994,45.996922000000005,52.80399999999998,1.2210812631578947,1.210445315789474,1.3895789473684206,-0.4579233684210525,-0.05271257894736814,19.0,4.0,8.0,7.0,18.0,26.0,20.0,26.110644999999998,23.288976999999996,29.0686,1.3742444736842103,1.2257356315789472,1.5299263157894736,-0.4268760526315788,-0.14268542105263182,19.0,4.0,6.0,9.0,11.0,22.0,18.0,20.290443000000003,22.707945000000002,23.7354,1.067918052631579,1.1951550000000002,1.2492315789473682,-0.48897068421052636,0.03726026315789488
Cadiz,38.0,6.0,15.0,17.0,26.0,55.0,33.0,37.979984,57.83391299999999,42.524499999999996,0.9994732631578948,1.521945078947368,1.1190657894736842,-0.31526273684210526,0.07457665789473644,19.0,5.0,9.0,5.0,16.0,19.0,24.0,20.878512,16.499565,29.426699999999997,1.098869052631579,0.8683981578947368,1.5487736842105262,-0.2567637894736843,-0.13160184210526316,19.0,1.0,6.0,12.0,10.0,36.0,9.0,17.101472,41.334348000000006,13.0978,0.9000774736842105,2.175492,0.6893578947368421,-0.37376168421052636,0.28075515789473715
Granada,38.0,4.0,9.0,25.0,38.0,79.0,21.0,43.583254800000006,69.31369099999999,35.894300000000015,1.146927757894737,1.8240444999999998,0.9445868421052636,-0.146927757894737,-0.2549028684210528,19.0,4.0,6.0,9.0,24.0,32.0,18.0,28.636848999999998,30.528605000000002,24.698500000000003,1.5072025789473684,1.6067686842105264,1.2999210526315792,-0.24404468421052639,-0.07744184210526295,19.0,0.0,3.0,16.0,14.0,47.0,3.0,14.946405799999997,38.78508600000001,11.195800000000004,0.7866529368421051,2.041320315789474,0.5892526315789476,-0.04981083157894728,-0.432363894736842
Almeria,38.0,3.0,12.0,23.0,43.0,75.0,21.0,49.8956157,71.85109,38.275000000000006,1.3130425184210526,1.8908181578947367,1.0072368421052633,-0.18146357105263156,-0.08286605263157898,19.0,1.0,8.0,10.0,22.0,36.0,11.0,31.715563,31.695642999999993,25.4893,1.669240157894737,1.6681917368421049,1.341542105263158,-0.5113454210526316,-0.2265451052631582,19.0,2.0,4.0,13.0,21.0,39.0,10.0,18.1800527,40.155446999999995,12.7857,0.9568448789473685,2.113444578947368,0.6729315789473684,0.14841827894736848,0.06081299999999956
